gateway,gateway_document_number,gateway_name
WUDI PAY CORRESPONDENTE DE INSTITUICAO FINANCEIRA LTDA | 18490448000104,18490448000104,WUDI PAY CORRESPONDENTE DE INSTITUICAO FINANCEIRA LTDA
H2 LICENSED LTDA | bc916c18-e741-4769-b5ef-4b65d3c2ad9f,56303755000110,H2 LICENSED LTDA
BRLT GAMING LTDA | fdfd7c7a-1c6c-4f2d-923d-a30566e9a203,56259060000188,BRLT GAMING LTDA
VOX LOGAME LTDA | d1fcd393-aea9-44cc-a64b-85850b85b68d,56349116000195,VOX LOGAME LTDA
ALL BETS | 8bee12bb-cd36-450c-8076-f717f9d29e4f,93138451000170,ALL BETS
ROCKET PAGO LTDA | 86e82dee-d2ee-492a-93b4-87ab037f6fbb,57252890000146,ROCKET PAGO LTDA
SECURELINK CONSULTORIA FINANCEIRA LTDA | 540e81e5-df89-48f3-9813-39d30260f5d7,53733396000142,SECURELINK CONSULTORIA FINANCEIRA LTDA
YE PAY SERVICOS FINANCEIROS LTDA | 0e254329-f63b-4d79-968a-19b30a813403,57020169000120,YE PAY SERVICOS FINANCEIROS LTDA
JOGO PRINCIPAL LTDA VIVASORTE | f3f8732e-a4a1-4d0b-85a5-36df771eb17a,56302709000104,JOGO PRINCIPAL LTDA VIVASORTE
JONBET - PROLIFIC TRADE N.V. | 22443203000276,22443203000276,JONBET - PROLIFIC TRADE N.V.
WWW PAGO LTDA | 8929aa57-fb6c-4d16-a6fc-e7ca4dbd7d35,54377555000186,WWW PAGO LTDA
VIRTUAL SOLUCOES EM TECNOLOGIA LTDA | e62df623-7039-40ab-8082-765df190a0a2,46481607000131,VIRTUAL SOLUCOES EM TECNOLOGIA LTDA
ABERTURA DE CONTA BANCÁRIA | 290e44b7-165f-4234-a7bf-fbcfe330a5b5,29639420000102,ABERTURA DE CONTA BANCÁRIA
LISBOAPAY FACILITADORA DE PAGAMENTOS LTDA | bdc0660c-5f59-40e1-b5cd-6ad45c15ba28,41433374000188,LISBOAPAY FACILITADORA DE PAGAMENTOS LTDA
PIXCRED SOCIEDADE DE CREDITO DIRETO S.A. | c3005aab-9d07-4598-94c1-9205d28048f9,42510062000193,PIXCRED SOCIEDADE DE CREDITO DIRETO S.A.
ZLIN PAY | 33678305000106,33678305000106,ZLIN PAY
Eos pay Marketing E Negocios Ltda | 52505718000133,52505718000133,Eos pay Marketing E Negocios Ltda
conectividade.digitalpay.old | 56349116000195,56349116000195,conectividade.digitalpay.old
ALL BETS | dfd14cc7-8f2d-4c7e-8189-92751615c631,93138451000170,ALL BETS
Lindau Gaming Brasil | b467cc10-137b-42ec-9f4c-2f692fed3d46,50550511000155,Lindau Gaming Brasil
BET.BET - DECOLA OPERATIONS N.V. | 22443203000276,22443203000276,BET.BET - DECOLA OPERATIONS N.V.
A2FBR LTDA. | 56147145000174,56147145000174,A2FBR LTDA.
P Pagamentos Ltda | 29639420000102,29639420000102,P Pagamentos Ltda
RMS ELETRONICS LTDA | 45707166000180,45707166000180,RMS ELETRONICS LTDA
HKP PAY PAGAMENTOS | 52648605000197,52648605000197,HKP PAY PAGAMENTOS
FAST GAMING S A | 1fef7255-6049-4e5e-9e18-c2c820d8ccd4,55980542000160,FAST GAMING S A
YE  PAY SERVICOS FINANCEIROS LTDA | c1757e59-678d-4ccc-b253-3904a5ade4ef,57020169000120,YE  PAY SERVICOS FINANCEIROS LTDA
CDA GAMING LTDA | 3e672110-ebc5-423a-91e9-2c3313260476,56636543000154,CDA GAMING LTDA
PAGGUE | 29639420000102,29639420000102,PAGGUE
YE  PAY SERVICOS FINANCEIROS LTDA | a3700be0-d02b-471a-8fb2-cd4c75db7660,57020169000120,YE  PAY SERVICOS FINANCEIROS LTDA
JOGO PRINCIPAL LTDA GINGA | 1399a955-03b5-4cb8-bdc8-71745b8f18a2,56302709000104,JOGO PRINCIPAL LTDA GINGA
BPAY SOLUCOES DE PAGAMENTOS LTDA | 48278458000133,48278458000133,BPAY SOLUCOES DE PAGAMENTOS LTDA
WORLD SPORTS TECHNOLOGY DOO BRASIL S..A. | 55822818000181,55822818000181,WORLD SPORTS TECHNOLOGY DOO BRASIL S..A.
DZELTENS TRANSFER | 49462916000152,49462916000152,DZELTENS TRANSFER
TOISBET - TRUST RECIFE B.V. | 22443203000276,22443203000276,TOISBET - TRUST RECIFE B.V.
BORAJOGAR - AURORA HOLDINGS N V | 22443203000276,22443203000276,BORAJOGAR - AURORA HOLDINGS N V
Okto Tech Ltda. | e2a64918-bcc3-482a-88cc-fff68f04bb6d,51583189000123,Okto Tech Ltda.
LCT | b7ab3895-52b7-40a1-a577-e4cd4692aab2,31023573000164,LCT
PIXS COBRANÇA E SERVIÇOS EM TECNOLOGIA S.A | 40953545000137,40953545000137,PIXS COBRANÇA E SERVIÇOS EM TECNOLOGIA S.A
ANSPACE INSTITUIÇÃO DE PAGAMENTO LTDA | b2091f02-b030-4c3b-96b5-0e28579f3ac8,22443203000195,ANSPACE INSTITUIÇÃO DE PAGAMENTO LTDA
SAMBABET - SUPERSTARS ENTERTAINMENT B.V. | 22443203000276,22443203000276,SAMBABET - SUPERSTARS ENTERTAINMENT B.V.
GORILLAS GROUP DO BRASIL LTDA | 818fa39b-0e6a-4505-a7a2-194f8575a43c,37456039000128,GORILLAS GROUP DO BRASIL LTDA
IZI - Izipay Now - Casino Teste - gustavo-mello241 | 48206461000141,48206461000141,IZI - Izipay Now - Casino Teste - gustavo-mello241
TOISBET - TRUST RECIFE B.V. | 22443203000195,22443203000195,TOISBET - TRUST RECIFE B.V.
SISTEMA L P LTDA | 06023798000173,6023798000173,SISTEMA L P LTDA
ALL BETS | 1aaef77e-f2f1-4fca-b0ed-400409fb6554,93138451000170,ALL BETS
DF PARTICIPACOES LTDA | 8a1b8c3c-9964-48ef-aa9a-5561d201bb7f,57841833000100,DF PARTICIPACOES LTDA
a.hkp1 | 56349116000195,56349116000195,a.hkp1
BHTRADE LTDA | dbbb86af-5cef-4bad-a014-8ff43b5e2e1a,57724181000116,BHTRADE LTDA
HK CASH LOGAME LTDA | 6c585de5-e418-43cf-9f20-dc990d7d55c0,56349116000195,HK CASH LOGAME LTDA
PAULO R LEMOS E CIA LTDA | 7a747133-d950-49c5-86f3-1d6b0ffa0d47,93138451000170,PAULO R LEMOS E CIA LTDA
POWERFULL LOGAME LTDA | 3a8ebab0-ba7c-42c1-9afa-913297e882a5,56349116000195,POWERFULL LOGAME LTDA
